Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option2 name,Option2 value,Option3 name,Option3 value,Price,Compare-at price,Cost per item,Charge tax,Tax code,Unit price total measure,Unit price total measure unit,Unit price base measure,Unit price base measure unit,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Google Shopping / Google product category,Google Shopping / Gender,Google Shopping / Age group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords labels,Google Shopping / Condition,Google Shopping / Custom product,Google Shopping / Custom label 0,Google Shopping / Custom label 1,Google Shopping / Custom label 2,Google Shopping / Custom label 3,Google Shopping / Custom label 4
Rear Passenger Grab Handles,rear-passenger-grab-handles,Rear grab handles for second-row passengers.,Axle & Arc Fab,Automotive & Powersports,Cage Customization & Add-On,"Axle & Arc Fab, Add-On, Cage Upgrade",TRUE,active,,,,,,,,,249,,,TRUE,,,,,,shopify,100,continue,,,TRUE,manual,,,,,,,,,,,,,,,,,,,,
Full Interior Grab Handle Package (Front + Rear),full-interior-grab-handle-package-front-rear,Full cage grab handle package.,Axle & Arc Fab,Automotive & Powersports,Cage Customization & Add-On,"Axle & Arc Fab, Add-On, Cage Upgrade",TRUE,active,,,,,,,,,399,,,TRUE,,,,,,shopify,100,continue,,,TRUE,manual,,,,,,,,,,,,,,,,,,,,
.120 DOM HD Tube Upgrade,120-dom-hd-tube-upgrade,Upgraded .120 wall DOM tubing.,Axle & Arc Fab,Automotive & Powersports,Cage Customization & Add-On,"Axle & Arc Fab, Add-On, Cage Upgrade",TRUE,active,,,,,,,,,250,,,TRUE,,,,,,shopify,100,continue,,,TRUE,manual,,,,,,,,,,,,,,,,,,,,
Roof Triangulation Add-On,roof-triangulation-add-on,Additional roof bracing and triangulation.,Axle & Arc Fab,Automotive & Powersports,Cage Customization & Add-On,"Axle & Arc Fab, Add-On, Cage Upgrade",TRUE,active,,,,,,,,,300,,,TRUE,,,,,,shopify,100,continue,,,TRUE,manual,,,,,,,,,,,,,,,,,,,,
Harness Bar Add-On,harness-bar-add-on,Harness bar for aftermarket harnesses.,Axle & Arc Fab,Automotive & Powersports,Cage Customization & Add-On,"Axle & Arc Fab, Add-On, Cage Upgrade",TRUE,active,,,,,,,,,250,,,TRUE,,,,,,shopify,100,continue,,,TRUE,manual,,,,,,,,,,,,,,,,,,,,
Dash Bar Add-On,dash-bar-add-on,Dash bar tying A-pillars together.,Axle & Arc Fab,Automotive & Powersports,Cage Customization & Add-On,"Axle & Arc Fab, Add-On, Cage Upgrade",TRUE,active,,,,,,,,,225,,,TRUE,,,,,,shopify,100,continue,,,TRUE,manual,,,,,,,,,,,,,,,,,,,,
Frame Tie-In Kit,frame-tie-in-kit,Frame tie-in reinforcement kit.,Axle & Arc Fab,Automotive & Powersports,Cage Customization & Add-On,"Axle & Arc Fab, Add-On, Cage Upgrade",TRUE,active,,,,,,,,,350,,,TRUE,,,,,,shopify,100,continue,,,TRUE,manual,,,,,,,,,,,,,,,,,,,,
Roof Rack – 2 Seater,roof-rack-2-seater,Heavy-duty roof rack for 2-seat SXS.,Axle & Arc Fab,Automotive & Powersports,Cage Customization & Add-On,"Axle & Arc Fab, Add-On, Cage Upgrade",TRUE,active,,,,,,,,,600,,,TRUE,,,,,,shopify,100,continue,,,TRUE,manual,,,,,,,,,,,,,,,,,,,,
Roof Rack – 4 Seater,roof-rack-4-seater,Heavy-duty roof rack for 4-seat SXS.,Axle & Arc Fab,Automotive & Powersports,Cage Customization & Add-On,"Axle & Arc Fab, Add-On, Cage Upgrade",TRUE,active,,,,,,,,,750,,,TRUE,,,,,,shopify,100,continue,,,TRUE,manual,,,,,,,,,,,,,,,,,,,,
Aluminum Roof – 2 Seater,aluminum-roof-2-seater,Premium aluminum roof for 2-seat SXS.,Axle & Arc Fab,Automotive & Powersports,Cage Customization & Add-On,"Axle & Arc Fab, Add-On, Cage Upgrade",TRUE,active,,,,,,,,,450,,,TRUE,,,,,,shopify,100,continue,,,TRUE,manual,,,,,,,,,,,,,,,,,,,,
Aluminum Roof – 4 Seater,aluminum-roof-4-seater,Premium aluminum roof for 4-seat SXS.,Axle & Arc Fab,Automotive & Powersports,Cage Customization & Add-On,"Axle & Arc Fab, Add-On, Cage Upgrade",TRUE,active,,,,,,,,,650,,,TRUE,,,,,,shopify,100,continue,,,TRUE,manual,,,,,,,,,,,,,,,,,,,,
Welded Tube Roof – 2 Seater,welded-tube-roof-2-seater,Fully welded tube roof for 2-seat SXS.,Axle & Arc Fab,Automotive & Powersports,Cage Customization & Add-On,"Axle & Arc Fab, Add-On, Cage Upgrade",TRUE,active,,,,,,,,,550,,,TRUE,,,,,,shopify,100,continue,,,TRUE,manual,,,,,,,,,,,,,,,,,,,,
Welded Tube Roof – 4 Seater,welded-tube-roof-4-seater,Fully welded tube roof for 4-seat SXS.,Axle & Arc Fab,Automotive & Powersports,Cage Customization & Add-On,"Axle & Arc Fab, Add-On, Cage Upgrade",TRUE,active,,,,,,,,,750,,,TRUE,,,,,,shopify,100,continue,,,TRUE,manual,,,,,,,,,,,,,,,,,,,,
Tinted Poly Roof – 2 Seater,tinted-poly-roof-2-seater,Tinted polycarbonate roof for 2-seat SXS.,Axle & Arc Fab,Automotive & Powersports,Cage Customization & Add-On,"Axle & Arc Fab, Add-On, Cage Upgrade",TRUE,active,,,,,,,,,350,,,TRUE,,,,,,shopify,100,continue,,,TRUE,manual,,,,,,,,,,,,,,,,,,,,
Tinted Poly Roof – 4 Seater,tinted-poly-roof-4-seater,Tinted polycarbonate roof for 4-seat SXS.,Axle & Arc Fab,Automotive & Powersports,Cage Customization & Add-On,"Axle & Arc Fab, Add-On, Cage Upgrade",TRUE,active,,,,,,,,,550,,,TRUE,,,,,,shopify,100,continue,,,TRUE,manual,,,,,,,,,,,,,,,,,,,,
Front Windshield Frame (No Glass),front-windshield-frame-no-glass,Front windshield frame only.,Axle & Arc Fab,Automotive & Powersports,Cage Customization & Add-On,"Axle & Arc Fab, Add-On, Cage Upgrade",TRUE,active,,,,,,,,,250,,,TRUE,,,,,,shopify,100,continue,,,TRUE,manual,,,,,,,,,,,,,,,,,,,,
Rear Window Frame (No Glass),rear-window-frame-no-glass,Rear window frame only.,Axle & Arc Fab,Automotive & Powersports,Cage Customization & Add-On,"Axle & Arc Fab, Add-On, Cage Upgrade",TRUE,active,,,,,,,,,220,,,TRUE,,,,,,shopify,100,continue,,,TRUE,manual,,,,,,,,,,,,,,,,,,,,
Cage Installation Labor,cage-installation-labor,Professional installation of custom cage.,Axle & Arc Fab,Automotive & Powersports,Cage Customization & Add-On,"Axle & Arc Fab, Add-On, Cage Upgrade",TRUE,active,,,,,,,,,600,,,TRUE,,,,,,shopify,100,continue,,,TRUE,manual,,,,,,,,,,,,,,,,,,,,
Add-On Installation Labor,add-on-installation-labor,Installation labor for accessories.,Axle & Arc Fab,Automotive & Powersports,Cage Customization & Add-On,"Axle & Arc Fab, Add-On, Cage Upgrade",TRUE,active,,,,,,,,,250,,,TRUE,,,,,,shopify,100,continue,,,TRUE,manual,,,,,,,,,,,,,,,,,,,,
Intrusion Bar – V Style,intrusion-bar-v-style,V-style intrusion bar reinforcement for front opening.,Axle & Arc Fab,Automotive & Powersports,Cage Customization & Add-On,"Axle & Arc Fab, Add-On, Cage Upgrade",TRUE,active,,,,,,,,,199,,,TRUE,,,,,,shopify,100,continue,,,TRUE,manual,,,,,,,,,,,,,,,,,,,,
Intrusion Bar – Straight Style,intrusion-bar-straight-style,Straight intrusion bar for added protection.,Axle & Arc Fab,Automotive & Powersports,Cage Customization & Add-On,"Axle & Arc Fab, Add-On, Cage Upgrade",TRUE,active,,,,,,,,,199,,,TRUE,,,,,,shopify,100,continue,,,TRUE,manual,,,,,,,,,,,,,,,,,,,,
Intrusion Bar – X Style,intrusion-bar-x-style,X-style intrusion bar for maximum front reinforcement.,Axle & Arc Fab,Automotive & Powersports,Cage Customization & Add-On,"Axle & Arc Fab, Add-On, Cage Upgrade",TRUE,active,,,,,,,,,249,,,TRUE,,,,,,shopify,100,continue,,,TRUE,manual,,,,,,,,,,,,,,,,,,,,
Window Nets (Pair),window-nets-pair,Safety window nets for competition or aggressive riding.,Axle & Arc Fab,Automotive & Powersports,Cage Customization & Add-On,"Axle & Arc Fab, Add-On, Cage Upgrade",TRUE,active,,,,,,,,,149,,,TRUE,,,,,,shopify,100,continue,,,TRUE,manual,,,,,,,,,,,,,,,,,,,,
Rear Cage Support Brace,rear-cage-support-brace,Reinforcement brace connecting cage to rear structure.,Axle & Arc Fab,Automotive & Powersports,Cage Customization & Add-On,"Axle & Arc Fab, Add-On, Cage Upgrade",TRUE,active,,,,,,,,,299,,,TRUE,,,,,,shopify,100,continue,,,TRUE,manual,,,,,,,,,,,,,,,,,,,,
Overhead Storage Bag,overhead-storage-bag,Cage-mounted overhead storage bag.,Axle & Arc Fab,Automotive & Powersports,Cage Customization & Add-On,"Axle & Arc Fab, Add-On, Cage Upgrade",TRUE,active,,,,,,,,,89,,,TRUE,,,,,,shopify,100,continue,,,TRUE,manual,,,,,,,,,,,,,,,,,,,,
Roll Cage Storage Bags (Pair),roll-cage-storage-bags-pair,Side-mounted storage bags for tools and essentials.,Axle & Arc Fab,Automotive & Powersports,Cage Customization & Add-On,"Axle & Arc Fab, Add-On, Cage Upgrade",TRUE,active,,,,,,,,,129,,,TRUE,,,,,,shopify,100,continue,,,TRUE,manual,,,,,,,,,,,,,,,,,,,,
Fire Extinguisher Mount,fire-extinguisher-mount,Quick-release fire extinguisher mount.,Axle & Arc Fab,Automotive & Powersports,Cage Customization & Add-On,"Axle & Arc Fab, Add-On, Cage Upgrade",TRUE,active,,,,,,,,,59,,,TRUE,,,,,,shopify,100,continue,,,TRUE,manual,,,,,,,,,,,,,,,,,,,,
Speaker Pods (Pair),speaker-pods-pair,Cage-mounted audio speaker pods.,Axle & Arc Fab,Automotive & Powersports,Cage Customization & Add-On,"Axle & Arc Fab, Add-On, Cage Upgrade",TRUE,active,,,,,,,,,199,,,TRUE,,,,,,shopify,100,continue,,,TRUE,manual,,,,,,,,,,,,,,,,,,,,
Radio / Intercom Mount,radio-intercom-mount,Bracket for mounting radio & intercom systems.,Axle & Arc Fab,Automotive & Powersports,Cage Customization & Add-On,"Axle & Arc Fab, Add-On, Cage Upgrade",TRUE,active,,,,,,,,,79,,,TRUE,,,,,,shopify,100,continue,,,TRUE,manual,,,,,,,,,,,,,,,,,,,,
Antenna Mount Plate,antenna-mount-plate,Mount plate for radio antennas and whip lights.,Axle & Arc Fab,Automotive & Powersports,Cage Customization & Add-On,"Axle & Arc Fab, Add-On, Cage Upgrade",TRUE,active,,,,,,,,,49,,,TRUE,,,,,,shopify,100,continue,,,TRUE,manual,,,,,,,,,,,,,,,,,,,,
Windshield – Cut-to-Fit Polycarbonate,windshield-cut-to-fit-polycarbonate,Polycarbonate windshield trimmed to custom cage.,Axle & Arc Fab,Automotive & Powersports,Cage Customization & Add-On,"Axle & Arc Fab, Add-On, Cage Upgrade",TRUE,active,,,,,,,,,249,,,TRUE,,,,,,shopify,100,continue,,,TRUE,manual,,,,,,,,,,,,,,,,,,,,
Side Mirrors (Pair),side-mirrors-pair,Clamp-on adjustable side mirrors.,Axle & Arc Fab,Automotive & Powersports,Cage Customization & Add-On,"Axle & Arc Fab, Add-On, Cage Upgrade",TRUE,active,,,,,,,,,69,,,TRUE,,,,,,shopify,100,continue,,,TRUE,manual,,,,,,,,,,,,,,,,,,,,
Folding Grab Handles (Pair),folding-grab-handles-pair,Premium folding-style grab handles.,Axle & Arc Fab,Automotive & Powersports,Cage Customization & Add-On,"Axle & Arc Fab, Add-On, Cage Upgrade",TRUE,active,,,,,,,,,149,,,TRUE,,,,,,shopify,100,continue,,,TRUE,manual,,,,,,,,,,,,,,,,,,,,
Fastback Roofline Upgrade,fastback-roofline-upgrade,Fastback-style roofline modification.,Axle & Arc Fab,Automotive & Powersports,Cage Customization & Add-On,"Axle & Arc Fab, Add-On, Cage Upgrade",TRUE,active,,,,,,,,,299,,,TRUE,,,,,,shopify,100,continue,,,TRUE,manual,,,,,,,,,,,,,,,,,,,,
Lo-Brow Roofline Upgrade,lo-brow-roofline-upgrade,Low-profile roofline styling upgrade.,Axle & Arc Fab,Automotive & Powersports,Cage Customization & Add-On,"Axle & Arc Fab, Add-On, Cage Upgrade",TRUE,active,,,,,,,,,349,,,TRUE,,,,,,shopify,100,continue,,,TRUE,manual,,,,,,,,,,,,,,,,,,,,
Vinyl Wrap Application (Cage Only),vinyl-wrap-application-cage-only,Vinyl wrap application for cage tubing.,Axle & Arc Fab,Automotive & Powersports,Cage Customization & Add-On,"Axle & Arc Fab, Add-On, Cage Upgrade",TRUE,active,,,,,,,,,199,,,TRUE,,,,,,shopify,100,continue,,,TRUE,manual,,,,,,,,,,,,,,,,,,,,
Powder Coat – Single Stage,powder-coat-single-stage,Single-stage powder coat.,Axle & Arc Fab,Automotive & Powersports,Finish Option,"Powder Coat, Finish, Axle & Arc Fab",TRUE,active,,,,,,,,,400,,,TRUE,,,,,,shopify,100,continue,,,TRUE,manual,,,,,,,,,,,,,,,,,,,,
Powder Coat – Single Stage,powder-coat-single-stage,Single-stage powder coat.,Axle & Arc Fab,Automotive & Powersports,Finish Option,"Powder Coat, Finish, Axle & Arc Fab",TRUE,active,,,,,,,,,500,,,TRUE,,,,,,shopify,100,continue,,,TRUE,manual,,,,,,,,,,,,,,,,,,,,
Powder Coat – Two Stage / Custom,powder-coat-two-stage-custom,Two-stage or custom powder coat.,Axle & Arc Fab,Automotive & Powersports,Finish Option,"Powder Coat, Finish, Axle & Arc Fab",TRUE,active,,,,,,,,,600,,,TRUE,,,,,,shopify,100,continue,,,TRUE,manual,,,,,,,,,,,,,,,,,,,,
Powder Coat – Two Stage / Custom,powder-coat-two-stage-custom,Two-stage or custom powder coat.,Axle & Arc Fab,Automotive & Powersports,Finish Option,"Powder Coat, Finish, Axle & Arc Fab",TRUE,active,,,,,,,,,750,,,TRUE,,,,,,shopify,100,continue,,,TRUE,manual,,,,,,,,,,,,,,,,,,,,
Powder Coat – Add-On Items (Call for Quote),powder-coat-add-on-items-call-for-quote,Powder coating for additional accessories; price varies.,Axle & Arc Fab,Automotive & Powersports,Finish Option,"Powder Coat, Finish, Axle & Arc Fab",TRUE,active,,,,,,,,,0,,,TRUE,,,,,,shopify,100,continue,,,TRUE,manual,,,,,,,,,,,,,,,,,,,,
