Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Box type (product.metafields.shopify.box-type),Color (product.metafields.shopify.color-pattern),Features (product.metafields.shopify.features),Fit type (product.metafields.shopify.fit-type),Hardware mounting type (product.metafields.shopify.hardware-mounting-type),Item condition (product.metafields.shopify.item-condition),Item material (product.metafields.shopify.item-material),Manufacturer type (product.metafields.shopify.manufacturer-type),Material (product.metafields.shopify.material),Mount material (product.metafields.shopify.mount-material),Organizer type (product.metafields.shopify.organizer-type),Vehicle drive/handling features (product.metafields.shopify.vehicle-drive-handling-features),Vehicle type (product.metafields.shopify.vehicle-type),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
cf-moto-uforce-u10-lower-door-accents,,,,,,,,,black-1,,,4 Door,,,,,1)661-2-3-4-5-6-7-8-9 BLACK,1814.36948,shopify,20,continue,manual,174.21,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0682/5603/9143/files/200661.2.jpg?v=1763739383,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,
cf-moto-uforce-u10-lower-door-accents,,,,,,,,,silver-1,,,2 Door,,,,,1)661-2-3-8-9 SILVER,907.18474,shopify,20,continue,manual,87.11,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0682/5603/9143/files/200661.4.jpg?v=1763739383,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,
cf-moto-uforce-u10-lower-door-accents,,,,,,,,,silver-1,,,4 Door,,,,,1)661-2-3-4-5-6-7-8-9 SILVER,1814.36948,shopify,10,continue,manual,174.21,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0682/5603/9143/files/200661.5.jpg?v=1763739383,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,
cf-moto-uforce-u10-lower-door-accents,,,,,,,,,bordeaux-red-n-a-yet,,,2 Door,,,,,1)661-2-3-8-9 RED,907.18474,shopify,0,deny,manual,87.11,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0682/5603/9143/files/200661.6.jpg?v=1763739383,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,
cf-moto-uforce-u10-lower-door-accents,,,,,,,,,bordeaux-red-n-a-yet,,,4 Door,,,,,1)661-2-3-4-5-6-7-8-9 RED,1814.36948,shopify,0,deny,manual,174.21,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,
cf-moto-uforce-u10-front-bumper,CF Moto UForce U10 Front Bumper,"<p class=""short-description"">Give your CF Moto UForce U10 the protection it deserves with our heavy-duty front bumper, built to withstand tough terrain and demanding workloads. This bumper is engineered for durability, bolting directly to the front of the machine.  Light up the night sky with the ability to move the front auxiliary lights to our bumper and our optional cube lights.  </p>
<p class=""usa-img""><img height=""168"" width=""168"" alt=""made in the usa"" src=""https://cdn.shopify.com/s/files/1/0682/5603/9143/files/madeinusa.webp?v=1711118973"" class=""wp-image-484""></p>
<ul class=""description-list"">
<li>Cube Light Option</li>
<li>Color Match Accent Option</li>
<li>Fits factory bumper lights</li>
<li>Mild Textured powder coat</li>
<li>Made in USA</li>
</ul>
<div class=""shortdescriptionbottom""><br></div>
<!-- split -->
<p>SKU: 200647</p>
<p>Designed for both function and strength, our CF Moto UForce Front Bumper features the ability to move the factory bumper lights to our heavy duty bumper and the option of adding our cube lights as an option.  You are able to select your color above for our accent pieces.  These colors are factory colors and are pop riveted on the bumper.   </p>
<p>Our Front Bumper is a three piece design with the bumper extensions bolting on the sides of the bumper with the supplied hardware. We CNC laser cut and bent this bumper from 10 gauge steel and then weld this bumper for a perfect fit on your machine.   After the bumper is welded we then give it a rugged mild texture black powder coat for a lasting finish.  All hardware is supplied to install this bumper on your machine including the hardware to move your auxiliary lights to the bumper.  </p>
<p><strong>Customization Options:</strong></p>
<ul class=""description-list"">
<li>Integrated Lighting: Upgrade with flush-mount 3” cube lights, complete with a wiring harness for easy installation. If lighting isn’t needed, a hexagon cover provides a seamless look with an option to upgrade later.</li>
<li>Accent Plates: Adds a touch of color while enhancing the style.</li>
</ul>
<p>Available in color-matched CF Moto UForce U10 finishes for a factory-perfect look.  You are able to reuse the factory winch fairlead.</p>",AJK Offroad,Uncategorized,,woo_import_3,TRUE,Accent Color,Silver,,With Cube Lights,No Lights,,,,,200647 Silver,13607.7711,,-1,deny,manual,678.76,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0682/5603/9143/files/200647.6.jpg?v=1761659563,1,,FALSE,CF Moto UForce U10 Front Bumper | AJK Offroad,"Give your CF Moto UForce U10 the protection it deserves with our heavy-duty rear bumper, built to withstand tough terrain and demanding workloads. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,281.21,active
cf-moto-uforce-u10-front-bumper,,,,,,,,,Silver,,,Yes Lights,,,,,1)647 Silver 1)300335,15875.73295,,-8,deny,manual,778.33,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0682/5603/9143/files/200647.1.jpg?v=1761659563,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,
cf-moto-uforce-u10-front-bumper,,,,,,,,,Black,,,No Lights,,,,,200647 Black,13607.7711,,-4,deny,manual,678.76,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0682/5603/9143/files/200647.2.jpg?v=1761659563,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,
cf-moto-uforce-u10-front-bumper,,,,,,,,,Black,,,Yes Lights,,,,,1)647 Black 1)300335,15875.73295,,-7,deny,manual,778.33,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0682/5603/9143/files/200647.3.jpg?v=1761659563,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,
cf-moto-uforce-u10-front-bumper,,,,,,,,,Bordeaux Red N/A YET,,,No Lights,,,,,200647 Red,13607.7711,shopify,0,deny,manual,678.76,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0682/5603/9143/files/200647.4.jpg?v=1761659563,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,
cf-moto-uforce-u10-front-bumper,,,,,,,,,Bordeaux Red N/A YET,,,Yes Lights,,,,,1)647 Red 1)300335,15875.73295,shopify,0,deny,manual,778.33,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0682/5603/9143/files/200647.7.jpg?v=1761659563,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,
cf-moto-uforce-u10-front-bumper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0682/5603/9143/files/200647.8.jpg?v=1761659563,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cf-moto-uforce-u10-front-bumper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0682/5603/9143/files/200647.9.jpg?v=1761659563,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cf-moto-uforce-u10-front-bumper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0682/5603/9143/files/200647.13.jpg?v=1761659563,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cf-moto-uforce-u10-front-bumper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0682/5603/9143/files/200647.14.jpg?v=1761659563,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cf-moto-uforce-u10-front-bumper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0682/5603/9143/files/200647.5.jpg?v=1761659563,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cf-moto-uforce-u10-front-bumper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0682/5603/9143/files/200647.10.jpg?v=1761659563,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cf-moto-uforce-u10-front-bumper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0682/5603/9143/files/200647.11.jpg?v=1761659563,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cf-moto-uforce-u10-front-bumper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0682/5603/9143/files/200647.12.jpg?v=1761659563,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cf-moto-uforce-u10-front-bumper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0682/5603/9143/files/200647.15.jpg?v=1761659512,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cf-moto-uforce-u10-front-bumper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0682/5603/9143/files/200647.16.jpg?v=1761659511,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cf-moto-uforce-u10-inner-fender-guards-1,CF Moto UForce U10 Inner Fender Guards,"<p class=""short-description"">Our CF Moto UForce U10 Inner Fender Guards are built to keep branches, rocks, and other debris from coming through your wheel wells. Designed to protect your front inner fenders, each guard is CNC bent from 1/8"" thick aluminum for a precise fit on your machine. After they are bent we then stitch weld some areas for maximum strength.  They fit tight to the plastic inner fenders, and are engineered for maximum strength. These guards will not affect tire size and pair perfectly with our Rock Sliders. Their oversized design covers the largest possible area of your inner fenders for superior protection.</p>
<p class=""usa-img""><img class=""wp-image-484"" src=""https://cdn.shopify.com/s/files/1/0682/5603/9143/files/madeinusa.webp?v=1711118973"" alt=""made in the usa"" width=""168"" height=""168""></p>
<ul class=""description-list"">
<li>Heavy Duty</li>
<li>Direct Bolt-On</li>
<li>Does Not Affect Tire Size</li>
<li>Powder-coated Black</li>
<li>Made from 1/8″ Aluminum</li>
<li>Sold as a Set</li>
<li>Made in the USA</li>
</ul>
<div class=""shortdescriptionbottom""><br></div>
<!-- split -->
<p>SKU 200649</p>
<p>Installation is quick and easy.  We send install directions with every set.  You will need to drill 1/4"" holes through your plastic fender well to bolt our inner fenders on. </p>
<p>Sold as a set for driver and passenger sides.</p>",AJK Offroad,Uncategorized,,"Polaris Xpedition, woo_import_1",TRUE,Title,Default Title,,,,,,,,'200649,3628.73896,shopify,3,continue,manual,222.73,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0682/5603/9143/files/200649.1.jpg?v=1761320223,1,,FALSE,CF Moto UForce U10 Inner Fender Guards | AJK Offroad,Our CF Moto UForce U10 Inner Fender Guards are built to keep debris from coming through your wheel wells. Designed to protect your front inner fenders.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,86.53,active
cf-moto-uforce-u10-inner-fender-guards-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0682/5603/9143/files/200649.5.jpg?v=1761320449,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cf-moto-uforce-u10-inner-fender-guards-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0682/5603/9143/files/200649.2.jpg?v=1761320449,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cf-moto-uforce-u10-inner-fender-guards-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0682/5603/9143/files/200649.3.jpg?v=1761320449,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cf-moto-uforce-u10-inner-fender-guards-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0682/5603/9143/files/200649.4.jpg?v=1761320449,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cf-moto-uforce-u10-inner-fender-guards-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0682/5603/9143/files/200649.6.jpg?v=1761320223,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cf-moto-uforce-u10-inner-fender-guards-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0682/5603/9143/files/200649.7.jpg?v=1761320223,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cf-moto-uforce-u10-under-seat-floor-storage,CF Moto UForce U10 Under Seat Floor Storage,"<p class=""short-description"">Our CF Moto UForce U10 Under Seat Floor Storage works with 4 door machines.  This is a great way to add additional storage to your CF Moto.  Our Under Seat Floor Storage Bin will work on the driver or passenger side.  you are able to order two of them to fit on both side.   If you order two of them you then can order the center walls that go up and over the tunnel to join each bin for even more storage.  This storage bin will also work with our <a href=""https://ajkoffroad.com/collections/uforce-u10-pro-highland/products/cf-moto-uforce-u10-under-seat-storage-bin""><strong>Under Seat Storage Bin</strong></a> that is also offered for the CF Moto. </p>
<p class=""usa-img""><img class=""wp-image-484"" src=""https://cdn.shopify.com/s/files/1/0682/5603/9143/files/madeinusa.webp?v=1711118973"" alt=""made in the usa"" width=""168"" height=""168""></p>
<ul class=""description-list"">
<li>Only works on 4 seaters</li>
<li>Adds necessary storage</li>
<li>Able to fit on Passenger or Driver side</li>
<li>Sold individually</li>
<li>Made in the USA</li>
<li>All necessary hardware supplied</li>
</ul>
<p class=""short-description""><!-- split --></p>
<p>SKU: 200665</p>
<p class=""short-description"">The center walls that go over the tunnel will only work if you order two bins one for each side. </p>
<p class=""short-description"">These are a simple install.  Simply remove the factory bolts in the floor set our Under Seat Floor Storage bin on the floor and use the supplied hardware to put back in the existing factory holes.  </p>",AJK Offroad,Uncategorized,,,TRUE,# of Bins,1 Bin,,,,,,,,'200665,1814.36948,,-3,deny,manual,135.19,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0682/5603/9143/files/200665.9.jpg?v=1761318150,1,,FALSE,,,2642,,,,,,,,,,,,,,,,,,new,,aftermarket,,,,,,,,,,,lb,,,active
cf-moto-uforce-u10-under-seat-floor-storage,,,,,,,,,2 Bins,,,,,,,,2)665,3628.73896,,-2,deny,manual,270.38,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0682/5603/9143/files/200665.1.jpg?v=1761318150,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,
cf-moto-uforce-u10-under-seat-floor-storage,,,,,,,,,2 Bins PLUS center walls,,,,,,,,2)665 1)665-3 1)665-4,4082.33133,,-5,deny,manual,307.75,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0682/5603/9143/files/200665.2.jpg?v=1761318150,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,
cf-moto-uforce-u10-under-seat-floor-storage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0682/5603/9143/files/200665.3.jpg?v=1761318150,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cf-moto-uforce-u10-under-seat-floor-storage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0682/5603/9143/files/200665.4.jpg?v=1761318150,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cf-moto-uforce-u10-under-seat-floor-storage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0682/5603/9143/files/200665.5.jpg?v=1761318150,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cf-moto-uforce-u10-under-seat-floor-storage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0682/5603/9143/files/200665.6.jpg?v=1761318150,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cf-moto-uforce-u10-under-seat-floor-storage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0682/5603/9143/files/200665.7.jpg?v=1761318150,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cf-moto-uforce-u10-under-seat-floor-storage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0682/5603/9143/files/200665.8.jpg?v=1761318150,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cf-moto-uforce-u10-under-seat-floor-storage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0682/5603/9143/files/200665.10.jpg?v=1761317734,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cf-moto-uforce-u10-under-seat-floor-storage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0682/5603/9143/files/200665.11.jpg?v=1761317734,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cf-moto-uforce-u10-mirror-accents,CF Moto UForce U10 Mirror Accents,"<p class=""short-description"">Our CF Moto UForce U10 Mirror Accents works with most newer model machines that has the same style mirrors as the CF Moto UForce U10 Highland.  These little accents add some nice color to the front side of your mirrors.  Our Mirror Accents are sold in a set of two pcs.  These are powder coated your machine color. </p>
<p class=""usa-img""><img class=""wp-image-484"" src=""https://cdn.shopify.com/s/files/1/0682/5603/9143/files/madeinusa.webp?v=1711118973"" alt=""made in the usa"" width=""168"" height=""168""></p>
<ul class=""description-list"">
<li>Adds some needed color</li>
<li>Powder Coated machine colors<br>
</li>
<li>Sold as a set</li>
<li>Made in the USA</li>
<li>All necessary hardware supplied</li>
</ul>
<p class=""short-description""><!-- split --></p>
<p>SKU: 200659</p>
<p class=""short-description"">These are a simple install.  Simply place the mirror accent on the mirror and use the supplied self drilling screws to install.  This is roughly a 10 minute install.  </p>",AJK Offroad,Vehicles & Parts > Vehicle Parts & Accessories > Motor Vehicle Parts > Motor Vehicle Mirrors,,,TRUE,Color,silver-1,product.metafields.shopify.color-pattern,,,,,,,200659 Silver,907.18474,,-2,deny,manual,43.55,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0682/5603/9143/files/200659.1.jpg?v=1761250026,1,,FALSE,,,2642,,,,,,,,,,,,,,silver-1; black-1; bordeaux-red-n-a-yet,,,,new,,aftermarket,,,,,,,,,,,lb,,,active
