Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Cost per item,Image Src,Image Position,Image Alt Text,Status
10ft-extension-cord-for-chasing-whip-light-with-remove,10FT Extension Cord for Chasing Whip Light with Remove,"<p><strong>10FT Extension Cord for Chasing Whip Light with Remove</strong> is part of the Throttle Therapy Nation™ Trusted Brands &amp; Gear network. Chosen for its balance of performance, value, and reliability, this product is built for riders who put real miles on their machines—on the trail, in the woods, at events, and back in the shop.</p><p>Add it to your build as a proven upgrade from a brand we trust to keep the Nation rolling: Ride. Heal. Belong.</p>",Xprite,,Xprite Parts & Accessories,"Xprite, Trusted Brand",FALSE,Variant,10ft,XPR-10FTEXTENSIO,,shopify,0,deny,manual,,,TRUE,TRUE,,,https://xpriteusa.com/cdn/shop/files/Untitleddesign_2.jpg?v=1704403701&width=1200,1,10FT Extension Cord for Chasing Whip Light with Remove,archived
10ft-extension-cord-for-chasing-whip-light-with-remove,10FT Extension Cord for Chasing Whip Light with Remove,"<p><strong>10FT Extension Cord for Chasing Whip Light with Remove</strong> is part of the Throttle Therapy Nation™ Trusted Brands &amp; Gear network. Chosen for its balance of performance, value, and reliability, this product is built for riders who put real miles on their machines—on the trail, in the woods, at events, and back in the shop.</p><p>Add it to your build as a proven upgrade from a brand we trust to keep the Nation rolling: Ride. Heal. Belong.</p>",Xprite,,Xprite Parts & Accessories,"Xprite, Trusted Brand",FALSE,Variant,10ft,XPR-10FTEXTENSIO,,shopify,0,deny,manual,,,TRUE,TRUE,,,https://xpriteusa.com/cdn/shop/products/1__71097.jpg?v=1623365951&width=1000,1,10FT Extension Cord for Chasing Whip Light with Remove,archived
12-led-6w-led-magnetic-mount-strobe-and-rotating-beacon-light,12 LED 6W LED Magnetic Mount Strobe and Rotating Beacon Light,"<p><strong>12 LED 6W LED Magnetic Mount Strobe and Rotating Beacon Light</strong> is part of the Throttle Therapy Nation™ Trusted Brands &amp; Gear network. Chosen for its balance of performance, value, and reliability, this product is built for riders who put real miles on their machines—on the trail, in the woods, at events, and back in the shop.</p><p>Add it to your build as a proven upgrade from a brand we trust to keep the Nation rolling: Ride. Heal. Belong.</p>",Xprite,,Xprite Parts & Accessories,"Xprite, Trusted Brand",FALSE,Variant,Variant 1,XPR-12LED6WLEDMA,,shopify,0,deny,manual,,,TRUE,TRUE,,,https://xpriteusa.com/cdn/shop/files/SKU-04-Amber_Modern.jpg?v=1755097462&width=1000,1,12 LED 6W LED Magnetic Mount Strobe and Rotating Beacon Light,archived
12-led-6w-led-magnetic-mount-strobe-and-rotating-beacon-light,12 LED 6W LED Magnetic Mount Strobe and Rotating Beacon Light,"<p><strong>12 LED 6W LED Magnetic Mount Strobe and Rotating Beacon Light</strong> is part of the Throttle Therapy Nation™ Trusted Brands &amp; Gear network. Chosen for its balance of performance, value, and reliability, this product is built for riders who put real miles on their machines—on the trail, in the woods, at events, and back in the shop.</p><p>Add it to your build as a proven upgrade from a brand we trust to keep the Nation rolling: Ride. Heal. Belong.</p>",Xprite,,Xprite Parts & Accessories,"Xprite, Trusted Brand",FALSE,Variant,Variant 2,XPR-12LED6WLEDMA,,shopify,0,deny,manual,,,TRUE,TRUE,,,https://xpriteusa.com/cdn/shop/files/SKU-04-Amber_Modern.jpg?v=1755097462&width=1000,1,12 LED 6W LED Magnetic Mount Strobe and Rotating Beacon Light,archived
13-utv-rear-view-mirror-valiant-series,"13"" UTV Rear View Mirror | Valiant Series","<p><strong>13"" UTV Rear View Mirror | Valiant Series</strong> is part of the Throttle Therapy Nation™ Trusted Brands &amp; Gear network. Chosen for its balance of performance, value, and reliability, this product is built for riders who put real miles on their machines—on the trail, in the woods, at events, and back in the shop.</p><p>Add it to your build as a proven upgrade from a brand we trust to keep the Nation rolling: Ride. Heal. Belong.</p>",Xprite,,Xprite Parts & Accessories,"Xprite, Trusted Brand",TRUE,Variant,"13""",XPR-13UTVREARVIE,,shopify,100,deny,manual,44.99,49.99,TRUE,TRUE,,31.49,https://xpriteusa.com/cdn/shop/products/1__73119.jpg?v=1630439105&width=1000,1,"13"" UTV Rear View Mirror | Valiant Series",active
13-utv-rear-view-mirror-valiant-series,"13"" UTV Rear View Mirror | Valiant Series","<p><strong>13"" UTV Rear View Mirror | Valiant Series</strong> is part of the Throttle Therapy Nation™ Trusted Brands &amp; Gear network. Chosen for its balance of performance, value, and reliability, this product is built for riders who put real miles on their machines—on the trail, in the woods, at events, and back in the shop.</p><p>Add it to your build as a proven upgrade from a brand we trust to keep the Nation rolling: Ride. Heal. Belong.</p>",Xprite,,Xprite Parts & Accessories,"Xprite, Trusted Brand",TRUE,Variant,"13""",XPR-13UTVREARVIE,,shopify,100,deny,manual,44.99,49.99,TRUE,TRUE,,31.49,https://xpriteusa.com/cdn/shop/products/1__73119.jpg?v=1630439105&width=1000,1,"13"" UTV Rear View Mirror | Valiant Series",active
14-5-mini-strobe-light-bar-with-magnetic-mount-pursuit-series,"14.5"" Mini Strobe Light Bar with Magnetic Mount | Pursuit Series","<p><strong>14.5"" Mini Strobe Light Bar with Magnetic Mount | Pursuit Series</strong> is part of the Throttle Therapy Nation™ Trusted Brands &amp; Gear network. Chosen for its balance of performance, value, and reliability, this product is built for riders who put real miles on their machines—on the trail, in the woods, at events, and back in the shop.</p><p>Add it to your build as a proven upgrade from a brand we trust to keep the Nation rolling: Ride. Heal. Belong.</p>",Xprite,,Xprite Parts & Accessories,"Xprite, Trusted Brand",TRUE,Variant,"14.5""",XPR-145MINISTROB,,shopify,100,deny,manual,49.99,57.99,TRUE,TRUE,,34.99,https://xpriteusa.com/cdn/shop/products/Variation_2e2ecd02-d543-4271-a736-16980a0bc14f.jpg?v=1618512005&width=1000,1,"14.5"" Mini Strobe Light Bar with Magnetic Mount | Pursuit Series",active
14-5-mini-strobe-light-bar-with-magnetic-mount-pursuit-series,"14.5"" Mini Strobe Light Bar with Magnetic Mount | Pursuit Series","<p><strong>14.5"" Mini Strobe Light Bar with Magnetic Mount | Pursuit Series</strong> is part of the Throttle Therapy Nation™ Trusted Brands &amp; Gear network. Chosen for its balance of performance, value, and reliability, this product is built for riders who put real miles on their machines—on the trail, in the woods, at events, and back in the shop.</p><p>Add it to your build as a proven upgrade from a brand we trust to keep the Nation rolling: Ride. Heal. Belong.</p>",Xprite,,Xprite Parts & Accessories,"Xprite, Trusted Brand",TRUE,Variant,"14.5""",XPR-145MINISTROB,,shopify,100,deny,manual,49.99,57.99,TRUE,TRUE,,34.99,https://xpriteusa.com/cdn/shop/products/01_560429b6-2dd5-4cd6-96e2-4b1a140c6201.jpg?v=1619558132&width=1000,1,"14.5"" Mini Strobe Light Bar with Magnetic Mount | Pursuit Series",active
14-5-mini-strobe-light-bar-with-magnetic-mount-pursuit-series,"14.5"" Mini Strobe Light Bar with Magnetic Mount | Pursuit Series","<p><strong>14.5"" Mini Strobe Light Bar with Magnetic Mount | Pursuit Series</strong> is part of the Throttle Therapy Nation™ Trusted Brands &amp; Gear network. Chosen for its balance of performance, value, and reliability, this product is built for riders who put real miles on their machines—on the trail, in the woods, at events, and back in the shop.</p><p>Add it to your build as a proven upgrade from a brand we trust to keep the Nation rolling: Ride. Heal. Belong.</p>",Xprite,,Xprite Parts & Accessories,"Xprite, Trusted Brand",TRUE,Variant,"14.5""",XPR-145MINISTROB,,shopify,100,deny,manual,49.99,57.99,TRUE,TRUE,,34.99,https://xpriteusa.com/cdn/shop/products/1-1_cf9dcfcb-c15c-4eb2-a7ec-33c68f513270.jpg?v=1619558552&width=1000,1,"14.5"" Mini Strobe Light Bar with Magnetic Mount | Pursuit Series",active
14-5-mini-strobe-light-bar-with-magnetic-mount-pursuit-series,"14.5"" Mini Strobe Light Bar with Magnetic Mount | Pursuit Series","<p><strong>14.5"" Mini Strobe Light Bar with Magnetic Mount | Pursuit Series</strong> is part of the Throttle Therapy Nation™ Trusted Brands &amp; Gear network. Chosen for its balance of performance, value, and reliability, this product is built for riders who put real miles on their machines—on the trail, in the woods, at events, and back in the shop.</p><p>Add it to your build as a proven upgrade from a brand we trust to keep the Nation rolling: Ride. Heal. Belong.</p>",Xprite,,Xprite Parts & Accessories,"Xprite, Trusted Brand",TRUE,Variant,"14.5""",XPR-145MINISTROB,,shopify,100,deny,manual,49.99,57.99,TRUE,TRUE,,34.99,https://xpriteusa.com/cdn/shop/products/1_51be02c0-e8fd-4a9b-ac2a-a811bc5abe5a.jpg?v=1619559135&width=1000,1,"14.5"" Mini Strobe Light Bar with Magnetic Mount | Pursuit Series",active
14-5-mini-strobe-light-bar-with-magnetic-mount-pursuit-series,"14.5"" Mini Strobe Light Bar with Magnetic Mount | Pursuit Series","<p><strong>14.5"" Mini Strobe Light Bar with Magnetic Mount | Pursuit Series</strong> is part of the Throttle Therapy Nation™ Trusted Brands &amp; Gear network. Chosen for its balance of performance, value, and reliability, this product is built for riders who put real miles on their machines—on the trail, in the woods, at events, and back in the shop.</p><p>Add it to your build as a proven upgrade from a brand we trust to keep the Nation rolling: Ride. Heal. Belong.</p>",Xprite,,Xprite Parts & Accessories,"Xprite, Trusted Brand",TRUE,Variant,"14.5""",XPR-145MINISTROB,,shopify,100,deny,manual,49.99,57.99,TRUE,TRUE,,34.99,https://xpriteusa.com/cdn/shop/files/SKU-06-Amber_Modern.jpg?v=1756316419&width=1000,1,"14.5"" Mini Strobe Light Bar with Magnetic Mount | Pursuit Series",active
14-5-mini-strobe-light-bar-with-magnetic-mount-pursuit-series,"14.5"" Mini Strobe Light Bar with Magnetic Mount | Pursuit Series","<p><strong>14.5"" Mini Strobe Light Bar with Magnetic Mount | Pursuit Series</strong> is part of the Throttle Therapy Nation™ Trusted Brands &amp; Gear network. Chosen for its balance of performance, value, and reliability, this product is built for riders who put real miles on their machines—on the trail, in the woods, at events, and back in the shop.</p><p>Add it to your build as a proven upgrade from a brand we trust to keep the Nation rolling: Ride. Heal. Belong.</p>",Xprite,,Xprite Parts & Accessories,"Xprite, Trusted Brand",TRUE,Variant,"14.5""",XPR-145MINISTROB,,shopify,100,deny,manual,49.99,57.99,TRUE,TRUE,,34.99,https://xpriteusa.com/cdn/shop/products/Variation_2e2ecd02-d543-4271-a736-16980a0bc14f.jpg?v=1618512005&width=1000,1,"14.5"" Mini Strobe Light Bar with Magnetic Mount | Pursuit Series",active
14-5-mini-strobe-light-bar-with-magnetic-mount-pursuit-series,"14.5"" Mini Strobe Light Bar with Magnetic Mount | Pursuit Series","<p><strong>14.5"" Mini Strobe Light Bar with Magnetic Mount | Pursuit Series</strong> is part of the Throttle Therapy Nation™ Trusted Brands &amp; Gear network. Chosen for its balance of performance, value, and reliability, this product is built for riders who put real miles on their machines—on the trail, in the woods, at events, and back in the shop.</p><p>Add it to your build as a proven upgrade from a brand we trust to keep the Nation rolling: Ride. Heal. Belong.</p>",Xprite,,Xprite Parts & Accessories,"Xprite, Trusted Brand",TRUE,Variant,"14.5""",XPR-145MINISTROB,,shopify,100,deny,manual,49.99,57.99,TRUE,TRUE,,34.99,https://xpriteusa.com/cdn/shop/products/01_560429b6-2dd5-4cd6-96e2-4b1a140c6201.jpg?v=1619558132&width=1000,1,"14.5"" Mini Strobe Light Bar with Magnetic Mount | Pursuit Series",active
14-5-mini-strobe-light-bar-with-magnetic-mount-pursuit-series,"14.5"" Mini Strobe Light Bar with Magnetic Mount | Pursuit Series","<p><strong>14.5"" Mini Strobe Light Bar with Magnetic Mount | Pursuit Series</strong> is part of the Throttle Therapy Nation™ Trusted Brands &amp; Gear network. Chosen for its balance of performance, value, and reliability, this product is built for riders who put real miles on their machines—on the trail, in the woods, at events, and back in the shop.</p><p>Add it to your build as a proven upgrade from a brand we trust to keep the Nation rolling: Ride. Heal. Belong.</p>",Xprite,,Xprite Parts & Accessories,"Xprite, Trusted Brand",TRUE,Variant,"14.5""",XPR-145MINISTROB,,shopify,100,deny,manual,49.99,57.99,TRUE,TRUE,,34.99,https://xpriteusa.com/cdn/shop/products/1-1_cf9dcfcb-c15c-4eb2-a7ec-33c68f513270.jpg?v=1619558552&width=1000,1,"14.5"" Mini Strobe Light Bar with Magnetic Mount | Pursuit Series",active
14-5-mini-strobe-light-bar-with-magnetic-mount-pursuit-series,"14.5"" Mini Strobe Light Bar with Magnetic Mount | Pursuit Series","<p><strong>14.5"" Mini Strobe Light Bar with Magnetic Mount | Pursuit Series</strong> is part of the Throttle Therapy Nation™ Trusted Brands &amp; Gear network. Chosen for its balance of performance, value, and reliability, this product is built for riders who put real miles on their machines—on the trail, in the woods, at events, and back in the shop.</p><p>Add it to your build as a proven upgrade from a brand we trust to keep the Nation rolling: Ride. Heal. Belong.</p>",Xprite,,Xprite Parts & Accessories,"Xprite, Trusted Brand",TRUE,Variant,"14.5""",XPR-145MINISTROB,,shopify,100,deny,manual,49.99,57.99,TRUE,TRUE,,34.99,https://xpriteusa.com/cdn/shop/products/1_51be02c0-e8fd-4a9b-ac2a-a811bc5abe5a.jpg?v=1619559135&width=1000,1,"14.5"" Mini Strobe Light Bar with Magnetic Mount | Pursuit Series",active
14-5-mini-strobe-light-bar-with-magnetic-mount-pursuit-series,"14.5"" Mini Strobe Light Bar with Magnetic Mount | Pursuit Series","<p><strong>14.5"" Mini Strobe Light Bar with Magnetic Mount | Pursuit Series</strong> is part of the Throttle Therapy Nation™ Trusted Brands &amp; Gear network. Chosen for its balance of performance, value, and reliability, this product is built for riders who put real miles on their machines—on the trail, in the woods, at events, and back in the shop.</p><p>Add it to your build as a proven upgrade from a brand we trust to keep the Nation rolling: Ride. Heal. Belong.</p>",Xprite,,Xprite Parts & Accessories,"Xprite, Trusted Brand",TRUE,Variant,"14.5""",XPR-145MINISTROB,,shopify,100,deny,manual,49.99,57.99,TRUE,TRUE,,34.99,https://xpriteusa.com/cdn/shop/files/SKU-06-Amber_Modern.jpg?v=1756316419&width=1000,1,"14.5"" Mini Strobe Light Bar with Magnetic Mount | Pursuit Series",active
17-5-convex-rear-wide-view-tempered-glass-mirror-1-75-rollbars,"17.5"" Convex Rear Wide View Tempered Glass Mirror 1.75"" Rollbars","<p><strong>17.5"" Convex Rear Wide View Tempered Glass Mirror 1.75"" Rollbars</strong> is part of the Throttle Therapy Nation™ Trusted Brands &amp; Gear network. Chosen for its balance of performance, value, and reliability, this product is built for riders who put real miles on their machines—on the trail, in the woods, at events, and back in the shop.</p><p>Add it to your build as a proven upgrade from a brand we trust to keep the Nation rolling: Ride. Heal. Belong.</p>",Xprite,,Xprite Parts & Accessories,"Xprite, Trusted Brand",TRUE,Variant,Red,XPR-175CONVEXREA,,shopify,100,deny,manual,44.99,49.99,TRUE,TRUE,,31.49,https://xpriteusa.com/cdn/shop/products/2_a51dd7cb-39c5-4360-bfc3-5046252c54d3.jpg?v=1681924065&width=1080,1,"17.5"" Convex Rear Wide View Tempered Glass Mirror 1.75"" Rollbars",active
17-5-convex-rear-wide-view-tempered-glass-mirror-1-75-rollbars,"17.5"" Convex Rear Wide View Tempered Glass Mirror 1.75"" Rollbars","<p><strong>17.5"" Convex Rear Wide View Tempered Glass Mirror 1.75"" Rollbars</strong> is part of the Throttle Therapy Nation™ Trusted Brands &amp; Gear network. Chosen for its balance of performance, value, and reliability, this product is built for riders who put real miles on their machines—on the trail, in the woods, at events, and back in the shop.</p><p>Add it to your build as a proven upgrade from a brand we trust to keep the Nation rolling: Ride. Heal. Belong.</p>",Xprite,,Xprite Parts & Accessories,"Xprite, Trusted Brand",TRUE,Variant,Red,XPR-175CONVEXREA,,shopify,100,deny,manual,44.99,49.99,TRUE,TRUE,,31.49,https://xpriteusa.com/cdn/shop/products/2_a51dd7cb-39c5-4360-bfc3-5046252c54d3.jpg?v=1681924065&width=1080,1,"17.5"" Convex Rear Wide View Tempered Glass Mirror 1.75"" Rollbars",active
17-dual-led-directional-traffic-advisor-light-bars-contract-g2-series,"17"" Dual LED Directional Traffic Advisor Light Bars | Contract G2 Series","<p><strong>17"" Dual LED Directional Traffic Advisor Light Bars | Contract G2 Series</strong> is part of the Throttle Therapy Nation™ Trusted Brands &amp; Gear network. Chosen for its balance of performance, value, and reliability, this product is built for riders who put real miles on their machines—on the trail, in the woods, at events, and back in the shop.</p><p>Add it to your build as a proven upgrade from a brand we trust to keep the Nation rolling: Ride. Heal. Belong.</p>",Xprite,,Xprite Parts & Accessories,"Xprite, Trusted Brand",TRUE,Variant,"17""",XPR-17DUALLEDDIR,,shopify,100,deny,manual,69.99,77.99,TRUE,TRUE,,48.99,https://xpriteusa.com/cdn/shop/products/1_32d386b7-6021-43e2-b6c4-fbc6eb997b44.jpg?v=1623365384&width=1000,1,"17"" Dual LED Directional Traffic Advisor Light Bars | Contract G2 Series",active
17-dual-led-directional-traffic-advisor-light-bars-contract-g2-series,"17"" Dual LED Directional Traffic Advisor Light Bars | Contract G2 Series","<p><strong>17"" Dual LED Directional Traffic Advisor Light Bars | Contract G2 Series</strong> is part of the Throttle Therapy Nation™ Trusted Brands &amp; Gear network. Chosen for its balance of performance, value, and reliability, this product is built for riders who put real miles on their machines—on the trail, in the woods, at events, and back in the shop.</p><p>Add it to your build as a proven upgrade from a brand we trust to keep the Nation rolling: Ride. Heal. Belong.</p>",Xprite,,Xprite Parts & Accessories,"Xprite, Trusted Brand",TRUE,Variant,"17""",XPR-17DUALLEDDIR,,shopify,100,deny,manual,69.99,77.99,TRUE,TRUE,,48.99,https://xpriteusa.com/cdn/shop/products/1_32d386b7-6021-43e2-b6c4-fbc6eb997b44.jpg?v=1623365384&width=1000,1,"17"" Dual LED Directional Traffic Advisor Light Bars | Contract G2 Series",active
18-emergency-strobe-light-bar-mini-black-hawk-series,"18"" Emergency Strobe Light Bar | Mini Black Hawk Series","<p><strong>18"" Emergency Strobe Light Bar | Mini Black Hawk Series</strong> is part of the Throttle Therapy Nation™ Trusted Brands &amp; Gear network. Chosen for its balance of performance, value, and reliability, this product is built for riders who put real miles on their machines—on the trail, in the woods, at events, and back in the shop.</p><p>Add it to your build as a proven upgrade from a brand we trust to keep the Nation rolling: Ride. Heal. Belong.</p>",Xprite,,Xprite Parts & Accessories,"Xprite, Trusted Brand",FALSE,Variant,Black,XPR-18EMERGENCYS,,shopify,0,deny,manual,,,TRUE,TRUE,,,https://xpriteusa.com/cdn/shop/products/Variation_5cd85929-a7b9-4c17-acee-8dab27b5bb14.jpg?v=1635891354&width=1000,1,"18"" Emergency Strobe Light Bar | Mini Black Hawk Series",archived
18-emergency-strobe-light-bar-mini-black-hawk-series,"18"" Emergency Strobe Light Bar | Mini Black Hawk Series","<p><strong>18"" Emergency Strobe Light Bar | Mini Black Hawk Series</strong> is part of the Throttle Therapy Nation™ Trusted Brands &amp; Gear network. Chosen for its balance of performance, value, and reliability, this product is built for riders who put real miles on their machines—on the trail, in the woods, at events, and back in the shop.</p><p>Add it to your build as a proven upgrade from a brand we trust to keep the Nation rolling: Ride. Heal. Belong.</p>",Xprite,,Xprite Parts & Accessories,"Xprite, Trusted Brand",FALSE,Variant,Black,XPR-18EMERGENCYS,,shopify,0,deny,manual,,,TRUE,TRUE,,,https://xpriteusa.com/cdn/shop/files/1_f195b546-e2ec-4054-863a-b2293bc66407.jpg?v=1693440759&width=1000,1,"18"" Emergency Strobe Light Bar | Mini Black Hawk Series",archived
