Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Canada,Price / Canada,Compare At Price / Canada,Included / International,Price / International,Compare At Price / International,Included / United States,Price / United States,Compare At Price / United States,Status
2018–2023-Can-Am-Maverick-X3-Max/X3,2018–2023 Can-Am Maverick X3 Max/X3 Demon Half Door,"Refresh the look of your machine with the Demon lower doors. These doors go with any color scheme and blends in perfectly while making your machine look sleek. The doors are made from aluminum and will be easy to install and fit without any modifications. Designed for ultimate protection, these aluminum doors are lightweight and contoured to your machine's shape giving your ride a Demon look. The fit is tight, rattle free and leaves no gaps so no need to worry about unwanted noise while riding. Keep that dirt, water, and mud out of your machine while you're killing it on the trail!",Demon Powersports,,Half Door,,TRUE,Title,Default Title,,,,,,,,PAD-3002HD,0,shopify,5,deny,manual,215,215,TRUE,TRUE,8.40844E+11,https://cdn.shopify.com/s/files/1/0278/8399/5245/files/PAD-3001.jpg?v=1640099546,1,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active
2014–2020-Polaris-RZR-1000/Turbo,2014–2020 Polaris RZR 1000/Turbo Demon Half Door,"Refresh the look of your machine with the Demon lower doors. These doors go with any color scheme and blends in perfectly while making your machine look sleek. The doors are made from aluminum and will be easy to install and fit without any modifications. Designed for ultimate protection, these aluminum doors are lightweight and contoured to your machine's shape giving your ride a Demon look. The fit is tight, rattle free and leaves no gaps so no need to worry about unwanted noise while riding. Keep that dirt, water, and mud out of your machine while you're killing it on the trail!",Demon Powersports,,Half Door,,TRUE,Title,Default Title,,,,,,,,PAD-6003HD,0,shopify,5,deny,manual,115,115,TRUE,TRUE,8.40844E+11,https://cdn.shopify.com/s/files/1/0278/8399/5245/files/PAD-3001.jpg?v=1640099546,1,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active
2014–2020-Polaris-RZR-1000/Turbo/Turbo-S,2014–2020 Polaris RZR 1000/Turbo/Turbo S Demon Half Door,"Refresh the look of your machine with the Demon lower doors. These doors go with any color scheme and blends in perfectly while making your machine look sleek. The doors are made from aluminum and will be easy to install and fit without any modifications. Designed for ultimate protection, these aluminum doors are lightweight and contoured to your machine's shape giving your ride a Demon look. The fit is tight, rattle free and leaves no gaps so no need to worry about unwanted noise while riding. Keep that dirt, water, and mud out of your machine while you're killing it on the trail!",Demon Powersports,,Half Door,,TRUE,Title,Default Title,,,,,,,,PAD-6004HD,0,shopify,5,deny,manual,215,215,TRUE,TRUE,8.40844E+11,https://cdn.shopify.com/s/files/1/0278/8399/5245/files/PAD-3001.jpg?v=1640099546,1,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active
"1989–2020-Yamaha-Big-Bear-350/Bear-400,-Warrior-350,-Banshee-350,-Prairie,-Kodiak-400/450,-Bear-Tracker-250,-Eiger,-Vinson-500,-Ozark-F250,-QuadSport-250,-Bruin-350,-Blaster-200,-Grizzly-350/400/450-Front-Left,-Front-Right","1989–2020 Yamaha Big Bear 350/Bear 400, Warrior 350, Banshee 350, Prairie, Kodiak 400/450, Bear Tracker 250, Eiger, Vinson 500, Ozark F250, QuadSport 250, Bruin 350, Blaster 200, Grizzly 350/400/450 Front Left, Front Right Demon Sintered Brake Pads","All Demon brake pads are metallic bronze washed pads contain copper, tin, graphite and other metallic elements with nonferrous filaments.

The high-density built material results in consistent friction across a full range of operating temperatures and reduces brake fade at high temperatures.
Provides instant braking performance in wet or muddy conditions with exceptional stability in all temperatures.

The sintered metal brake pads are proven to last longer than carbon, Kevlar, semi-metallic and other organic brake pads.",Demon Powersports,,Sintered Brake Pads,,TRUE,Title,Default Title,,,,,,,,PATP-1008,0,shopify,5,deny,manual,19,19,TRUE,TRUE,8.40844E+11,https://cdn.shopify.com/s/files/1/0278/8399/5245/files/PATP-1008.jpg?v=1666887933,1,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active
"2011–2024-Can-Am-Commander-800,-Teryx4-750/800,-Teryx-800,-UFORCE-800,-ZFORCE-800-Front-Left,-Front-Right,-Rear-Left","2011–2024 Can-Am Commander 800, Teryx4 750/800, Teryx 800, UFORCE 800, ZFORCE 800 Front Left, Front Right, Rear Left Demon Sintered Brake Pads","All Demon brake pads are metallic bronze washed pads contain copper, tin, graphite and other metallic elements with nonferrous filaments.

The high-density built material results in consistent friction across a full range of operating temperatures and reduces brake fade at high temperatures.
Provides instant braking performance in wet or muddy conditions with exceptional stability in all temperatures.

The sintered metal brake pads are proven to last longer than carbon, Kevlar, semi-metallic and other organic brake pads.",Demon Powersports,,Sintered Brake Pads,,TRUE,Title,Default Title,,,,,,,,PATP-1009,0,shopify,5,deny,manual,19,19,TRUE,TRUE,8.40844E+11,https://cdn.shopify.com/s/files/1/0278/8399/5245/files/PATP-1009.jpg?v=1666887933,1,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active
"2004–2016-Yamaha-Rhino-660/450,-QuadRacer-450,-Raptor-700,-YFZ-450,-Commander-800,-UFORCE-800,-ZFORCE-800-Front-Left,-Front-Right,-Rear-Left","2004–2016 Yamaha Rhino 660/450, QuadRacer 450, Raptor 700, YFZ 450, Commander 800, UFORCE 800, ZFORCE 800 Front Left, Front Right, Rear Left Demon Sintered Brake Pads","All Demon brake pads are metallic bronze washed pads contain copper, tin, graphite and other metallic elements with nonferrous filaments.

The high-density built material results in consistent friction across a full range of operating temperatures and reduces brake fade at high temperatures.
Provides instant braking performance in wet or muddy conditions with exceptional stability in all temperatures.

The sintered metal brake pads are proven to last longer than carbon, Kevlar, semi-metallic and other organic brake pads.",Demon Powersports,,Sintered Brake Pads,,TRUE,Title,Default Title,,,,,,,,PATP-1010,0,shopify,5,deny,manual,19,19,TRUE,TRUE,8.40844E+11,https://cdn.shopify.com/s/files/1/0278/8399/5245/files/PATP-1010.jpg?v=1666887933,1,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active
"2006–2014-Yamaha-YFZ-450,-Raptor-700-Rear-Left","2006–2014 Yamaha YFZ 450, Raptor 700 Rear Left Demon Sintered Brake Pads","All Demon brake pads are metallic bronze washed pads contain copper, tin, graphite and other metallic elements with nonferrous filaments.

The high-density built material results in consistent friction across a full range of operating temperatures and reduces brake fade at high temperatures.
Provides instant braking performance in wet or muddy conditions with exceptional stability in all temperatures.

The sintered metal brake pads are proven to last longer than carbon, Kevlar, semi-metallic and other organic brake pads.",Demon Powersports,,Sintered Brake Pads,,TRUE,Title,Default Title,,,,,,,,PATP-1021,0,shopify,5,deny,manual,19,19,TRUE,TRUE,8.40844E+11,https://cdn.shopify.com/s/files/1/0278/8399/5245/files/PATP-1021.jpg?v=1666887933,1,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active
"1985–2024-Honda-ATC350,-Grizzly-660,-Raptor-660/250,-QuadSport-400,-DVX-400,-TRX420,-TRX500,-TRX520-Front-Left,-Front-Right,-Rear-Left,-Rear-Right","1985–2024 Honda ATC350, Grizzly 660, Raptor 660/250, QuadSport 400, DVX 400, TRX420, TRX500, TRX520 Front Left, Front Right, Rear Left, Rear Right Demon Sintered Brake Pads","All Demon brake pads are metallic bronze washed pads contain copper, tin, graphite and other metallic elements with nonferrous filaments.

The high-density built material results in consistent friction across a full range of operating temperatures and reduces brake fade at high temperatures.
Provides instant braking performance in wet or muddy conditions with exceptional stability in all temperatures.

The sintered metal brake pads are proven to last longer than carbon, Kevlar, semi-metallic and other organic brake pads.",Demon Powersports,,Sintered Brake Pads,,TRUE,Title,Default Title,,,,,,,,PATP-1037,0,shopify,5,deny,manual,19,19,TRUE,TRUE,8.40844E+11,https://cdn.shopify.com/s/files/1/0278/8399/5245/files/PATP-1037.jpg?v=1666887932,1,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active
"2003–2007-Suzuki-Vinson-500-Rear-Left,-Rear-Right","2003–2007 Suzuki Vinson 500 Rear Left, Rear Right Demon Sintered Brake Pads","All Demon brake pads are metallic bronze washed pads contain copper, tin, graphite and other metallic elements with nonferrous filaments.

The high-density built material results in consistent friction across a full range of operating temperatures and reduces brake fade at high temperatures.
Provides instant braking performance in wet or muddy conditions with exceptional stability in all temperatures.

The sintered metal brake pads are proven to last longer than carbon, Kevlar, semi-metallic and other organic brake pads.",Demon Powersports,,Sintered Brake Pads,,TRUE,Title,Default Title,,,,,,,,PATP-1045,0,shopify,5,deny,manual,19,19,TRUE,TRUE,8.40844E+11,https://cdn.shopify.com/s/files/1/0278/8399/5245/files/PATP-1045.jpg?v=1693318971,1,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active
"2004–2011-Honda-TRX450,-TRX700-Front-Left,-Front-Right","2004–2011 Honda TRX450, TRX700 Front Left, Front Right Demon Sintered Brake Pads","All Demon brake pads are metallic bronze washed pads contain copper, tin, graphite and other metallic elements with nonferrous filaments.

The high-density built material results in consistent friction across a full range of operating temperatures and reduces brake fade at high temperatures.
Provides instant braking performance in wet or muddy conditions with exceptional stability in all temperatures.

The sintered metal brake pads are proven to last longer than carbon, Kevlar, semi-metallic and other organic brake pads.",Demon Powersports,,Sintered Brake Pads,,TRUE,Title,Default Title,,,,,,,,PATP-1048,0,shopify,5,deny,manual,19,19,TRUE,TRUE,8.40844E+11,https://cdn.shopify.com/s/files/1/0278/8399/5245/files/PATP-1048.jpg?v=1693318968,1,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active
"1986–1986-Honda-ATC350-Front-Left,-Front-Right","1986–1986 Honda ATC350 Front Left, Front Right Demon Sintered Brake Pads","All Demon brake pads are metallic bronze washed pads contain copper, tin, graphite and other metallic elements with nonferrous filaments.

The high-density built material results in consistent friction across a full range of operating temperatures and reduces brake fade at high temperatures.
Provides instant braking performance in wet or muddy conditions with exceptional stability in all temperatures.

The sintered metal brake pads are proven to last longer than carbon, Kevlar, semi-metallic and other organic brake pads.",Demon Powersports,,Sintered Brake Pads,,TRUE,Title,Default Title,,,,,,,,PATP-1052,0,shopify,5,deny,manual,19,19,TRUE,TRUE,8.40844E+11,https://cdn.shopify.com/s/files/1/0278/8399/5245/files/PATP-1052.jpg?v=1666887933,1,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active
"1998–2004-Polaris-Scrambler-400/500,-Sportsman-500/335/400,-Magnum-500/325,-Sport-400,-Trail-Blazer-250/Boss-325/Blazer-400/Boss-330,-Worker-335/500,-Xplorer-400/250,-Xpedition-325/425,-Diesel-455-Rear-Left,-Rear-Right","1998–2004 Polaris Scrambler 400/500, Sportsman 500/335/400, Magnum 500/325, Sport 400, Trail Blazer 250/Boss 325/Blazer 400/Boss 330, Worker 335/500, Xplorer 400/250, Xpedition 325/425, Diesel 455 Rear Left, Rear Right Demon Sintered Brake Pads","All Demon brake pads are metallic bronze washed pads contain copper, tin, graphite and other metallic elements with nonferrous filaments.

The high-density built material results in consistent friction across a full range of operating temperatures and reduces brake fade at high temperatures.
Provides instant braking performance in wet or muddy conditions with exceptional stability in all temperatures.

The sintered metal brake pads are proven to last longer than carbon, Kevlar, semi-metallic and other organic brake pads.",Demon Powersports,,Sintered Brake Pads,,TRUE,Title,Default Title,,,,,,,,PATP-1098,0,shopify,5,deny,manual,19,19,TRUE,TRUE,8.40844E+11,https://cdn.shopify.com/s/files/1/0278/8399/5245/files/PATP-1098.jpg?v=1693318964,1,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active
"1988–1999-Polaris-Diesel-455,-Trail-Boss-250/Blazer-250/Boss-350/Boss-325/Boss-300,-Big-Boss-250/Boss-350/Boss-300/Boss-400/Boss-500,-Sportsman-400/500/335,-300,-400,-Sport-400,-Magnum-425/500,-Scrambler-400/500,-Xplorer-400/300/500,-Xpress-300/400,-Worker-335/500-Rear-Left,-Rear-Right","1988–1999 Polaris Diesel 455, Trail Boss 250/Blazer 250/Boss 350/Boss 325/Boss 300, Big Boss 250/Boss 350/Boss 300/Boss 400/Boss 500, Sportsman 400/500/335, 300, 400, Sport 400, Magnum 425/500, Scrambler 400/500, Xplorer 400/300/500, Xpress 300/400, Worker 335/500 Rear Left, Rear Right Demon Sintered Brake Pads","All Demon brake pads are metallic bronze washed pads contain copper, tin, graphite and other metallic elements with nonferrous filaments.

The high-density built material results in consistent friction across a full range of operating temperatures and reduces brake fade at high temperatures.
Provides instant braking performance in wet or muddy conditions with exceptional stability in all temperatures.

The sintered metal brake pads are proven to last longer than carbon, Kevlar, semi-metallic and other organic brake pads.",Demon Powersports,,Sintered Brake Pads,,TRUE,Title,Default Title,,,,,,,,PATP-1100,0,shopify,5,deny,manual,19,19,TRUE,TRUE,8.40844E+11,https://cdn.shopify.com/s/files/1/0278/8399/5245/files/PATP-1100.jpg?v=1666887932,1,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active
