Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Fare Freight Package Type (product.metafields.app--65750532097--fare_freight.package_type),Height (product.metafields.next_cart.height),Length (product.metafields.next_cart.length),Width (product.metafields.next_cart.width),Color (product.metafields.shopify.color-pattern),Features (product.metafields.shopify.features),Fit type (product.metafields.shopify.fit-type),Item condition (product.metafields.shopify.item-condition),Item material (product.metafields.shopify.item-material),Manufacturer type (product.metafields.shopify.manufacturer-type),Material (product.metafields.shopify.material),Vehicle seating features (product.metafields.shopify.vehicle-seating-features),Vehicle type (product.metafields.shopify.vehicle-type),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Included / Canada,Price / Canada,Compare At Price / Canada,Status
available-2026-can-am-defender-max-hd11-project-whiskey-alpha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0621/7731/2924/files/Project_Whiskey_Alpha_customized_2026_Can-Am_Defender_HD11_featuring_heavy-duty_protection_roof_rack_and_off-road_performance_components..jpg?v=1763355814,11,"Project Whiskey Alpha customized 2026 Can-Am Defender HD11 featuring heavy-duty protection, roof rack, and off-road performance components.",,,,,,,,,,,,,,,,,,,,,,,,,,,
cfmoto-uforce-u10-xl-pro-metal-top,CFMoto UForce U10 XL Pro Metal Top,"<p data-end=""551"" data-start=""269"">Give your CFMoto U10 XL Pro unmatched protection and durability with the <strong data-end=""364"" data-start=""339"">Ranch Armor Metal Top</strong>. Built from high quality American steel and engineered for a precision factory fit, this roof delivers serious strength, all-weather coverage, and a clean, rugged look that stands up to real work.</p>
<p data-end=""860"" data-start=""553"">Whether you’re on the ranch, in the woods, or tackling rough terrain, this metal top provides dependable shade, keeps debris out, and eliminates the cracking, fading, and warping issues common with plastic roofs. Designed specifically for the U10 Pro, it installs securely with a rattle-free fit that lasts.</p>
<h2 data-end=""886"" data-start=""867""><strong data-end=""886"" data-start=""870"">Key Features</strong></h2>
<p><strong data-end=""886"" data-start=""870""><meta charset=""utf-8"">✅ <strong data-start=""1335"" data-end=""1355"">Exclusive Design</strong> – The only roof 100% compatible with factory CFMoto U10 XL Pro interiors.</strong></p>
<p data-end=""931"" data-start=""888""><strong data-end=""929"" data-start=""892"">🛡️ Heavy-Duty Steel Construction - </strong>Built from thick-gauge steel for maximum strength on the ranch, trail, or jobsite.</p>
<p data-end=""1054"" data-start=""1016""><strong data-end=""1052"" data-start=""1020"">🔒 Precision U10 XL Pro Fitment </strong>- <meta charset=""utf-8"">Vehicle-specific design ensures a tight, clean fit with no rattles or vibration.</p>
<p data-end=""1173"" data-start=""1137""><strong data-end=""1171"" data-start=""1141"">🌦️ All-Weather Protection - </strong>Shield your cab from sun, rain, falling limbs, and harsh outdoor conditions.</p>
<p data-end=""1293"" data-start=""1252""><strong data-end=""1291"" data-start=""1256"">🎨 Durable Powder-Coated Finish - </strong><strong></strong>Rust-resistant coating keeps the roof looking great and performing for years.</p>
<p data-end=""1411"" data-start=""1373""><strong data-end=""1409"" data-start=""1377"">🔧 Easy Bolt-On Installation - </strong>No drilling or fabrication required—designed to integrate with factory components.</p>
<p data-end=""1526"" data-start=""1496""><strong data-end=""1524"" data-start=""1500"">🚜 Work-Ready Design - </strong>Perfect for ranching, hunting, property management, and everyday utility use.</p>
<h2 data-end=""1633"" data-start=""1611""><strong data-end=""1633"" data-start=""1614"">Why It’s Better</strong></h2>
<ul>
<li data-end=""1695"" data-start=""1636"">Stronger and more durable than plastic or fiberglass tops</li>
<li data-end=""1695"" data-start=""1636"">Will not crack, fade, warp, or flex over time</li>
<li data-end=""1695"" data-start=""1636"">Adds a rugged, premium look to your U10 Pro</li>
<li data-end=""1695"" data-start=""1636"">Built in Texas by Ranch Armor for real-world, heavy-duty use</li>
</ul>",Ranch Armor,Vehicles & Parts > Vehicle Parts & Accessories > Motor Vehicle Parts > Motor Vehicle Frame & Body Parts,,,TRUE,Roof Rack Type,Flat Top/No Rack (standard),,Lighting & Audio Package,No lights or audio (standard),,,,,CFXLR2-1-0,0,,0,deny,manual,1399,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0621/7731/2924/files/CFMoto_U10_Pro_with_Ranch_Armor_heavy-duty_metal_roof_installed_for_all-weather_protection.jpg?v=1763349627,1,CFMoto U10 Pro with Ranch Armor heavy-duty metal roof installed for all-weather protection,FALSE,CFMoto U10 Pro Metal Top | Heavy-Duty Ranch Armor Steel Roof,"Strong, weatherproof, and built to last—the Ranch Armor metal top is the ultimate roof upgrade for your CFMoto U10 Pro. Perfect for ranch, trail, and jobsite use.",,,,,,,,,,,,,,,lb,,,TRUE,,,TRUE,,,active
cfmoto-uforce-u10-xl-pro-metal-top,,,,,,,,,Flat Top/No Rack (standard),,,Pkg 1: Control Box Only (Large) Use Your Own Lights (+399),,,,,CFXLR2-1-1,0,,0,deny,manual,1798,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0621/7731/2924/files/Side_view_of_CFMoto_U10_Pro_equipped_with_durable_powder-coated_Ranch_Armor_metal_top.jpg?v=1763351778,2,Side view of CFMoto U10 Pro equipped with durable powder-coated Ranch Armor metal top,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
cfmoto-uforce-u10-xl-pro-metal-top,,,,,,,,,Flat Top/No Rack (standard),,,"Pkg 2: Switch Box (Dome, Outlets), 30"" Single Row Front, Rear Pods (+ $699)",,,,,CFXLR2-1-2,0,,0,deny,manual,2098,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0621/7731/2924/files/CFMoto_U10_Pro_equipped_with_Ranch_Armor_steel_metal_roof_for_rugged_all-weather_protection.jpg?v=1763352218,3,CFMoto U10 Pro equipped with Ranch Armor steel metal roof for rugged all-weather protection,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
cfmoto-uforce-u10-xl-pro-metal-top,,,,,,,,,Flat Top/No Rack (standard),,,"Pkg 3: Hi-power Switch Box (2x Dome, Outlets), 50"" Front, 10"" Side Lights, Rear Pods (+ $1099)",,,,,CFXLR2-1-3,0,,0,deny,manual,2498,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0621/7731/2924/files/Ranch_Armor_steel_metal_top_mounted_on_CFMoto_U10_Pro_utility_vehicle_for_added_durability.jpg?v=1763352218,4,Ranch Armor steel metal top mounted on CFMoto U10 Pro utility vehicle for added durability,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
cfmoto-uforce-u10-xl-pro-metal-top,,,,,,,,,Flat Top/No Rack (standard),,,Pkg 4: Everything in Pkg 3. Plus Wetsounds Head Unit & Sound Bar (+$1948),,,,,CFXLR2-1-4,0,,0,deny,manual,3347,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0621/7731/2924/files/CFMoto_U10_Pro_featuring_precision-fit_Ranch_Armor_metal_roof_upgrade_for_rugged_use.jpg?v=1763352218,5,CFMoto U10 Pro featuring precision-fit Ranch Armor metal roof upgrade for rugged use,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
cfmoto-uforce-u10-xl-pro-metal-top,,,,,,,,,Flat Top/No Rack (standard),,,"Elusive Wildlife Pkg 3: Front 50"" Green/White, Side 15"" Green/White, Rear 15"" Green/White (+ $1499)",,,,,CFXLR2-1-3E,0,,0,deny,manual,3347,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
cfmoto-uforce-u10-xl-pro-metal-top,,,,,,,,,Flat Top/No Rack (standard),,,Elusive Wildlife Pkg 4: Everything in Elusive Wildlife Pkg 3. Plus Wetsounds Head Unit & Sound Bar (+$2349),,,,,CFXLR2-1-4E,0,,0,deny,manual,3748,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
cfmoto-uforce-u10-xl-pro-metal-top,,,,,,,,,Square Tube Rack (+ $249),,,No lights or audio (standard),,,,,CFXLR2-2-0,0,,0,deny,manual,1647,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
cfmoto-uforce-u10-xl-pro-metal-top,,,,,,,,,Square Tube Rack (+ $249),,,Pkg 1: Control Box Only (Large) Use Your Own Lights (+399),,,,,CFXLR2-2-1,0,,0,deny,manual,2047,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
cfmoto-uforce-u10-xl-pro-metal-top,,,,,,,,,Square Tube Rack (+ $249),,,"Pkg 2: Switch Box (Dome, Outlets), 30"" Single Row Front, Rear Pods (+ $699)",,,,,CFXLR2-2-2,0,,0,deny,manual,2347,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
cfmoto-uforce-u10-xl-pro-metal-top,,,,,,,,,Square Tube Rack (+ $249),,,"Pkg 3: Hi-power Switch Box (2x Dome, Outlets), 50"" Front, 10"" Side Lights, Rear Pods (+ $1099)",,,,,CFXLR2-2-3,0,,0,deny,manual,2747,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
cfmoto-uforce-u10-xl-pro-metal-top,,,,,,,,,Square Tube Rack (+ $249),,,Pkg 4: Everything in Pkg 3. Plus Wetsounds Head Unit & Sound Bar (+$1948),,,,,CFXLR2-2-4,0,,0,deny,manual,3596,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
cfmoto-uforce-u10-xl-pro-metal-top,,,,,,,,,Square Tube Rack (+ $249),,,"Elusive Wildlife Pkg 3: Front 50"" Green/White, Side 15"" Green/White, Rear 15"" Green/White (+ $1499)",,,,,CFXLR2-2-3E,0,,0,deny,manual,3147,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
cfmoto-uforce-u10-xl-pro-metal-top,,,,,,,,,Square Tube Rack (+ $249),,,Elusive Wildlife Pkg 4: Everything in Elusive Wildlife Pkg 3. Plus Wetsounds Head Unit & Sound Bar (+$2349),,,,,CFXLR2-2-4E,0,,0,deny,manual,3997,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
cfmoto-uforce-u10-xl-pro-metal-top,,,,,,,,,Premium Laser Cut/Slotted Racks (+ $399),,,No lights or audio (standard),,,,,CFXLR2-3-0,0,,0,deny,manual,1798,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
cfmoto-uforce-u10-xl-pro-metal-top,,,,,,,,,Premium Laser Cut/Slotted Racks (+ $399),,,Pkg 1: Control Box Only (Large) Use Your Own Lights (+399),,,,,CFXLR2-3-1,0,,0,deny,manual,2197,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
cfmoto-uforce-u10-xl-pro-metal-top,,,,,,,,,Premium Laser Cut/Slotted Racks (+ $399),,,"Pkg 2: Switch Box (Dome, Outlets), 30"" Single Row Front, Rear Pods (+ $699)",,,,,CFXLR2-3-2,0,,0,deny,manual,2497,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
cfmoto-uforce-u10-xl-pro-metal-top,,,,,,,,,Premium Laser Cut/Slotted Racks (+ $399),,,"Pkg 3: Hi-power Switch Box (2x Dome, Outlets), 50"" Front, 10"" Side Lights, Rear Pods (+ $1099)",,,,,CFXLR2-3-3,0,,0,deny,manual,2897,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
cfmoto-uforce-u10-xl-pro-metal-top,,,,,,,,,Premium Laser Cut/Slotted Racks (+ $399),,,Pkg 4: Everything in Pkg 3. Plus Wetsounds Head Unit & Sound Bar (+$1948),,,,,CFXLR2-3-4,0,,0,deny,manual,3746,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
cfmoto-uforce-u10-xl-pro-metal-top,,,,,,,,,Premium Laser Cut/Slotted Racks (+ $399),,,"Elusive Wildlife Pkg 3: Front 50"" Green/White, Side 15"" Green/White, Rear 15"" Green/White (+ $1499)",,,,,CFXLR2-3-3E,0,,0,deny,manual,3297,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
cfmoto-uforce-u10-xl-pro-metal-top,,,,,,,,,Premium Laser Cut/Slotted Racks (+ $399),,,Elusive Wildlife Pkg 4: Everything in Elusive Wildlife Pkg 3. Plus Wetsounds Head Unit & Sound Bar (+$2349),,,,,CFXLR2-3-4E,0,,0,deny,manual,4147,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
cfmoto-uforce-u10-pro-front-cargo-hood-basket,CFMoto UForce U10 Pro Front Hood Basket,"<p data-start=""296"" data-end=""683"">Maximize your CFMoto U10 Pro’s storage and work capabilities with the <strong data-start=""366"" data-end=""399"">Ranch Armor Front Hood Basket</strong>—a heavy-duty, high-capacity cargo solution built for ranchers, hunters, and serious off-road users. Designed specifically for the U10 Pro, this hood-mounted basket provides additional space for tools, gear, straps, feed, and equipment without sacrificing visibility or accessibility.</p>
<p data-start=""685"" data-end=""1140"">Constructed from thick-gauge steel and finished with a durable powder coat, the Ranch Armor hood basket is built to handle rugged terrain, daily work use, and harsh outdoor environments. Its precision-fit mounting system ensures a solid, rattle-free installation that integrates seamlessly with the U10 Pro’s hood contours. The open-top design makes grabbing gear quick and easy, while the raised side rails keep cargo secure when navigating rough trails.</p>
<p data-start=""1142"" data-end=""1328"">Whether you’re working the ranch, heading into the woods, or just need more organized storage space, the <strong data-start=""1247"" data-end=""1280"">Ranch Armor Front Hood Basket</strong> is the perfect upgrade for your CFMoto U10 Pro.</p>
<h3 data-start=""1335"" data-end=""1355""><strong data-start=""1339"" data-end=""1355"">Key Features</strong></h3>
<ul>
<li data-start=""1358"" data-end=""1459"">
<strong data-start=""1358"" data-end=""1382"">Vehicle-specific fit</strong> – Designed exclusively for the CFMoto U10 Pro for a clean, secure install.</li>
<li data-start=""1462"" data-end=""1553"">
<strong data-start=""1462"" data-end=""1495"">Heavy-duty steel construction</strong> – Built to withstand daily work and tough off-road use.</li>
<li data-start=""1556"" data-end=""1646"">
<strong data-start=""1556"" data-end=""1583"">Expanded cargo capacity</strong> – Ideal for tools, ropes, gear bags, feed buckets, and more.</li>
<li data-start=""1649"" data-end=""1746"">
<strong data-start=""1649"" data-end=""1680"">Rattle-free mounting system</strong> – Secure, bolt-on brackets that eliminate unnecessary movement.</li>
<li data-start=""1749"" data-end=""1837"">
<strong data-start=""1749"" data-end=""1781"">Durable powder-coated finish</strong> – Protects against rust, corrosion, and weather wear.</li>
<li data-start=""1840"" data-end=""1923"">
<strong data-start=""1840"" data-end=""1861"">Work-ready design</strong> – Easy access to gear while keeping cargo safely contained.</li>
</ul>
<h3 data-start=""1930"" data-end=""1949""><strong data-start=""1934"" data-end=""1949"">Perfect For</strong></h3>
<ul>
<li data-start=""1952"" data-end=""1973"">Ranching &amp; farm use</li>
<li data-start=""1976"" data-end=""1991"">Hunting trips</li>
<li data-start=""1994"" data-end=""2024"">Trail riding &amp; off-road work</li>
<li data-start=""2027"" data-end=""2044"">Jobsite utility</li>
<li data-start=""2047"" data-end=""2078"">Extra storage on long outings</li>
</ul>",Ranch Armor,Vehicles & Parts > Vehicle Parts & Accessories > Vehicle Storage & Cargo > Motor Vehicle Carrying Racks > Vehicle Cargo Racks,,,TRUE,Title,Default Title,,,,,,,,CFMAXL16-RA,0,,0,deny,manual,749,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0621/7731/2924/files/Ranch_Armor_steel_front_hood_basket_installed_on_CFMoto_U10_Pro_utility_vehicle.jpg?v=1763346460,1,Ranch Armor steel front hood basket installed on CFMoto U10 Pro utility vehicle,FALSE,CFMoto U10 Pro Front Hood Basket | Ranch Armor Heavy-Duty Cargo Storage,"Add serious storage to your CFMoto U10 Pro with the Ranch Armor front hood basket. Heavy-duty steel, precision-fit, and perfect for tools, gear, and ranch work.",,,,,,easy-to-assemble; storage-options; weather-resistant,,new,,,metal,,,,lb,,,TRUE,,,TRUE,,,active
cfmoto-uforce-u10-pro-front-cargo-hood-basket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0621/7731/2924/files/CFMoto_U10_Pro_featuring_durable_hood-mounted_cargo_basket_for_tools_and_gear.jpg?v=1763346460,2,CFMoto U10 Pro featuring durable hood-mounted cargo basket for tools and gear,,,,,,,,,,,,,,,,,,,,,,,,,,,
cfmoto-uforce-u10-pro-front-cargo-hood-basket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0621/7731/2924/files/CFMoto_U10_Pro_with_Ranch_Armor_heavy-duty_front_hood_basket_for_added_cargo_storage.jpg?v=1763346460,3,CFMoto U10 Pro with Ranch Armor heavy-duty front hood basket for added cargo storage,,,,,,,,,,,,,,,,,,,,,,,,,,,
